"question","ground_truth"
"What type of agreement is associated with VALENCETECHNOLOGYINC in the indexed documents?","The indexed document for VALENCETECHNOLOGYINC is a Joint Venture Contract."
"What type of agreement is associated with ACCELERATEDTECHNOLOGIESHOLDINGCORP in the indexed documents?","The indexed document for ACCELERATEDTECHNOLOGIESHOLDINGCORP is a Joint Venture Agreement."
"What type of agreement is associated with MOELIS CO in the indexed documents?","The indexed document for MOELIS CO is a Strategic Alliance Agreement."
"Which exhibit or agreement document should be reviewed for ACCELERATEDTECHNOLOGIESHOLDINGCORP?","ACCELERATEDTECHNOLOGIESHOLDINGCORP filed or provided EX-10.13 for a Joint Venture Agreement."
"What type of agreement is associated with Ritter Pharmaceuticals Inc in the indexed documents?","The indexed document for Ritter Pharmaceuticals Inc is a Development Agreement."
"Which exhibit or agreement document should be reviewed for CHIPMOSTECHNOLOGIESBERMUDALTD?","CHIPMOSTECHNOLOGIESBERMUDALTD filed or provided EX-4.72 for a Strategic Alliance Agreement."
"What type of agreement is associated with Reeds Inc in the indexed documents?","The indexed document for Reeds Inc is a Development Agreement."
"What type of agreement is associated with Liquidmetal Technologies Inc in the indexed documents?","The indexed document for Liquidmetal Technologies Inc is a Development Agreement."
"What type of agreement is associated with Harpoon Therapeutics Inc in the indexed documents?","The indexed document for Harpoon Therapeutics Inc is a Development Agreement and Option Agreement."
"What type of agreement is associated with Vgrab Communications Inc in the indexed documents?","The indexed document for Vgrab Communications Inc is a Development Agreement."
