question,ground_truth
What jurisdiction's laws will govern this agreement if Pennsylvania law does not apply?,another jurisdiction
What are the obligations of the parties regarding intellectual property matters under this agreement?,ARTICLE 9 Intellectual Property Matters
"What fees will the Blockchain Administrator receive for its services, and how will they be calculated?","The Blockchain Administrator shall receive a fee of 0.20% of the value of the Fund's average annual net assets, accrued daily and paid monthly in arrears."
Under what circumstances must the Managers obtain approval from the Members before making decisions on major issues regarding the Venture?,"Where Managers are unable to reach agreement in deciding major issues, approval by a majority vote of the Members at a regular or special meeting will be required."
What specific purposes can part or all of the Total Subscription Price be used for according to the agreement?,"(a) To strengthen research and development, and technologies, and expand production capacity in Taiwan in order to strengthen its roots in Taiwan, and increase job opportunities. (b) To increase the capital of ChipMOS TECHNOLOGIES (Shanghai) LTD., and replenish the operating capital of ChipMOS Shanghai, in order to expand ChipMOS and its affiliates’ business scale in LCD driver and Specialty Memory IC assembly and testing services and/or wafer bumping services markets, and thus increase ChipMOS’ global market share. (c) As funds for the merger with ChipMOS TECHNOLOGIES (Bermuda) LTD. (d) As funds for the merger and acquisition by ChipMOS of other appropriate targets in the semiconductor industry in Taiwan which have similar ideals, share a common goal, and are industrially complimentary."
What are the Client's obligations regarding providing assistance and cooperation to the Developer in completing the Application System?,The Client agrees to provide all assistance and cooperation to the Developer in order to complete the Application System timely and efficiently.
What specific event triggers the payment of a Phase II Milestone Payment according to this Development Agreement?,"The completion by WPD of a Phase II Study in one of the countries included within the Development Territory, which clinical trial meets all endpoints and is sufficient to form the basis of an application for approval of a Development Product in one Development Territory other than Poland."
What is the term and termination provision regarding non-solicitation of employees in this agreement?,37. TERM AND TERMINATION; NON-SOLICITATION
What types of intellectual property rights are included in 'Conformis Background IP'?,Invention and all Intellectual Property rights underlying such Invention
"What percentage of returned products, resulting from a common root cause attributable to Product Specifications or Approved Production Specifications, would trigger an 'Epidemic Defect' under this agreement?",more than [***] percent ([***]%)
Under what circumstances will a Franchise Agreement include exclusive territory or radius protection?,"This protection shall be set forth in the particular Franchise Agreement to be signed, and only applies if an exclusive Agreement is executed."
Who is responsible for federal or state withholdings and taxes related to EHS or EHN activities?,Dr. Murray shall be responsible for all federal or state withholdings and taxes
What are the Dossiers referred to in this Development Agreement?,"the New Drug Applications pursuant to 21 U.S.C. §355(b)(1)-(2), and all amendments and supplements thereof, for the Products as set forth in Exhibit A"
What are the obligations of Fuelcell Energy Inc. regarding the procurement and ownership of Program Results?,ARTICLE 6 - OWNERSHIP / PROCUREMENT OF PROGRAM RESULTS
Who has the authority to sign on behalf of Blackstone Holdings II L.P.,"Blackstone Holdings I/II GP L.L.C., its general partner"
What are the obligations of the parties regarding royalty payments and reports under this agreement?,6.6 Royalty Payments and Reports: [insert specific details from the text snippet]
What types of intellectual property does DSS own related to its AuthentiGuard technology?,"DSS owns patents, patent applications, inventions, software, trademarks, trade names, service marks, technology marks, designs, logos, copyrights, know-how, and trade secrets."
What are the minimum expectations for cooperation from each party to achieve the purpose of the Joint Venture Contract?,"The parties shall cooperate with each other in the highest degree in the performance of all such acts and the passing of all resolutions as are required for the purpose of achieving the terms, purposes and intent of this Agreement."
Are milestones or completion dates in a Statement of Work binding on the Parties?,"No, any milestones or completion dates set forth in a Statement of Work will be estimates only, and are not binding on the Parties."
What specific obligations does Molipharma undertake regarding the Clinical trial program in Oncology?,"Molipharma, through a separate agreement with UCSC, undertakes to provide the tissue samples and parts of tumors; Molipharma undertakes to make UCSC the site for clinical trials and in particular Molipharma undertakes to make UCSC the main site for clinical trials in cancer."
"What rights are granted to the Licensee regarding T&B's current and future trademarks, service marks, and trade dress used in connection with the Business?","The term “Licensed Marks” shall mean T&B’s current and future trademarks, service marks, and trade dress used in connection with the Business."
What equipment is required for vibratory deburring operations under the Development Agreement?,The equipment required for vibratory deburring operations includes one (1) Rosler R 125 EC-KF rotary vibrator and one (1) Rosler R 125 EC rotary vibrator.
What are the Covered Regions as defined in this Strategic Alliance Agreement?,3.3 Covered Regions
What is the basis for HGF's participation in revenue sharing with NVOS?,HGF will participate on a net revenue split of products offered to market directly or indirectly through NVOS channels.
What are the indemnities provided by the Licensee under this Development Agreement?,17.2. Indemnities by the Licensee
What is the duration of the period during which each party must provide the other with a right of first offer for development opportunities?,"the period beginning on the Effective Date and ending on December 31, 2018 (the “Development Term”)"
What specific features will be developed for the Pelican Delivers software under this project?,"The purpose of this project is to develop additional features for the Pelican Delivers software. This includes POS integration, Google Maps API, payment processing features, ID verification, reporting, driver app improvement and workflow, and a front facing web application for customers to find, order, and receive products via deliver or pickup."
"If a Milestone Deliverable is rejected and Developer makes modifications as per Change Request, how many days does Client have to inspect the modified deliverable for acceptance?",five (5) days
What laws and guidelines must be complied with for the Clinical Trials under this Development Agreement?,"The laws include the FFDCA, the PHSA, the Anti-Corruption Laws, and all laws, regulations and legally binding guidelines applicable to the Clinical Trials, including GCP, GLP, GMP and ICH guidelines."
What obligations do Gulf Houghton and other Sellers have regarding confidentiality of information related to Buyer?,"From and after the date hereof, each Seller shall, and shall cause its Affiliates to, hold, and shall use its reasonable best efforts to cause its or their respective Representatives to hold, in confidence any and all information, whether written or oral, concerning Buyer,..."
What specific rights does Reed's grant to Company in exchange for its contributions and obligations under this Agreement?,"The exclusive right to manufacture, package, promote, sell and distribute the Products (if and to the extent approved by the Development Committee)"
What laws and regulations are considered Antitrust Laws under this Development Agreement?,"the Hart-Scott-Rodino Antitrust Improvements Act of 1976 and the rules and regulations promulgated thereunder (the “HSR Act”), the Sherman Act, as amended, the Clayton Act, as amended, the Federal Trade Commission Act, as amended, and any other Applicable Laws related to merger control or designed to prohibit, restrict or regulate actions having the purpose or effect of monopolization or restraint of trade."
What is the duration of the Exclusivity Period?,"the period from the Effective Date until December 31, 2018."
How will the sales price for custom products be determined before commencing each project?,The parties shall agree to a proposed sales price for use during the project in writing prior to the commencement of each project.
"What are the specific rights granted to TPH regarding stockholder approval, as stated in this Joint Venture Agreement?","TPH's Stockholder Approval (Article V, Section 5.10)"
What percentage of ownership is required for one entity to be considered controlling another entity in this contract?,fifty percent (50%)
What jurisdiction's laws will govern this Amendment?,Japan
